PELOTAO                             | SEM_ID | DIA      | PER | DUR | DISC | INST1 | STATUS       | OBS
--------------------------------------------------------------------------------------------------------
2º PELOTÃO 2026                     | 11     | quarta   | 1   | 3   | 319  | 63    | concluido    | None
2º PELOTÃO 2026                     | 11     | quarta   | 4   | 3   | 319  | 63    | concluido    | None
2º PELOTÃO 2026                     | 11     | quarta   | 7   | 3   | 320  | 63    | concluido    | None
2º PELOTÃO 2026                     | 11     | quarta   | 10  | 3   | 320  | 63    | concluido    | None
2º PELOTÃO 2026                     | 11     | quinta   | 1   | 3   | 321  | 63    | concluido    | None
2º PELOTÃO 2026                     | 11     | quinta   | 4   | 3   | 321  | 63    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 4   | 1   | 349  | 58    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 5   | 1   | 349  | 58    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 6   | 1   | 349  | 58    | concluido    | None
2º PELOTÃO 2026                     | 11     | terca    | 7   | 1   | 379  | 108   | concluido    | None
2º PELOTÃO 2026                     | 11     | terca    | 8   | 1   | 379  | 108   | concluido    | None
2º PELOTÃO 2026                     | 11     | sexta    | 7   | 3   | 327  | 80    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 4   | 1   | 332  | 68    | concluido    | Aula inaugural
2º PELOTÃO 2026                     | 11     | segunda  | 5   | 1   | 332  | 68    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 6   | 1   | 332  | 68    | concluido    | None
2º PELOTÃO 2026                     | 11     | quarta   | 4   | 3   | 369  | 98    | concluido    | None
2º PELOTÃO 2026                     | 11     | quinta   | 4   | 1   | 350  | 58    | concluido    | None
2º PELOTÃO 2026                     | 11     | quinta   | 5   | 1   | 350  | 58    | concluido    | None
2º PELOTÃO 2026                     | 11     | quinta   | 6   | 1   | 350  | 58    | concluido    | None
2º PELOTÃO 2026                     | 11     | terca    | 4   | 3   | 368  | 98    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 7   | 3   | 380  | 66    | concluido    | None
2º PELOTÃO 2026                     | 11     | terca    | 1   | 3   | 370  | 66    | concluido    | None
2º PELOTÃO 2026                     | 11     | terca    | 4   | 3   | 380  | 66    | concluido    | None
2º PELOTÃO 2026                     | 11     | sexta    | 7   | 3   | 370  | 66    | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 1   | 1   | 333  | 111   | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 2   | 1   | 333  | 111   | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 3   | 1   | 333  | 111   | concluido    | None
2º PELOTÃO 2026                     | 11     | segunda  | 4   | 1   | 335  | 109   | concluido    | None
